iter	Passed	Remaining
0	17	8545
1	28	7110
2	35	5817
3	40	5040
4	44	4424
5	48	3977
6	49	3490
7	52	3259
8	57	3122
9	60	2961
10	64	2851
11	68	2777
12	69	2612
13	72	2532
14	76	2471
15	80	2446
16	82	2336
17	85	2289
18	89	2253
19	92	2216
20	95	2181
21	99	2158
22	102	2133
23	106	2104
24	109	2082
25	114	2088
26	118	2069
27	122	2057
28	127	2063
29	130	2042
30	131	1988
31	135	1986
32	139	1971
33	142	1958
34	147	1953
35	150	1945
36	154	1938
37	159	1942
38	163	1928
39	166	1916
40	170	1911
41	175	1909
42	178	1895
43	183	1897
44	187	1897
45	191	1885
46	195	1888
47	200	1885
48	204	1886
49	210	1895
50	214	1887
51	220	1900
52	224	1896
53	229	1895
54	233	1890
55	237	1881
56	241	1873
57	245	1871
58	249	1862
59	253	1862
60	257	1852
61	258	1826
62	262	1823
63	268	1826
64	275	1843
65	277	1823
66	282	1823
67	288	1831
68	293	1832
69	298	1831
70	304	1842
71	309	1841
72	313	1836
73	318	1834
74	324	1837
75	328	1834
76	333	1834
77	338	1829
78	343	1830
79	350	1842
80	354	1835
81	358	1826
82	362	1823
83	366	1812
84	369	1803
85	375	1805
86	378	1796
87	381	1787
88	386	1786
89	390	1780
90	394	1771
91	398	1766
92	402	1760
93	405	1752
94	409	1743
95	414	1743
96	417	1735
97	421	1728
98	427	1729
99	430	1722
100	434	1715
101	440	1718
102	444	1712
103	447	1703
104	452	1701
105	456	1695
106	459	1687
107	463	1680
108	466	1674
109	470	1668
110	474	1662
111	479	1661
112	482	1653
113	486	1646
114	490	1642
115	494	1636
116	498	1630
117	501	1623
118	506	1621
119	509	1614
120	513	1607
121	517	1603
122	525	1611
123	531	1610
124	536	1608
125	540	1603
126	546	1606
127	551	1601
128	552	1588
129	555	1581
130	562	1583
131	566	1578
132	570	1572
133	575	1570
134	579	1565
135	582	1559
136	587	1556
137	591	1551
138	596	1549
139	601	1546
140	605	1542
141	610	1539
142	614	1535
143	618	1528
144	623	1526
145	624	1513
146	627	1506
147	631	1500
148	634	1494
149	637	1488
150	641	1482
151	645	1477
152	649	1472
