iter	Passed	Remaining
0	4	2142
1	7	1896
2	11	1861
3	14	1792
4	17	1768
5	21	1734
6	24	1736
7	27	1720
8	31	1700
9	34	1686
10	37	1676
11	41	1669
12	44	1659
13	48	1666
14	51	1659
15	54	1662
16	58	1653
17	62	1674
18	66	1678
19	70	1684
20	74	1693
21	75	1636
22	78	1627
23	81	1622
24	85	1629
25	90	1658
26	94	1660
27	98	1666
28	103	1681
29	107	1684
30	111	1693
31	116	1710
32	121	1713
33	125	1724
34	130	1733
35	135	1743
36	139	1743
37	143	1740
38	147	1738
39	150	1734
40	155	1736
41	156	1706
42	160	1707
43	164	1700
44	168	1702
45	172	1699
46	176	1701
47	180	1698
48	184	1698
49	188	1695
50	191	1688
51	196	1690
52	200	1687
53	204	1689
54	209	1692
55	213	1693
56	217	1691
57	221	1684
58	224	1676
59	227	1670
60	230	1661
61	234	1656
62	237	1650
63	241	1644
64	244	1638
65	248	1635
66	252	1630
67	255	1624
68	259	1619
69	262	1614
70	266	1608
71	269	1603
72	270	1582
73	273	1577
74	277	1571
75	280	1566
76	284	1562
77	287	1556
78	291	1550
79	294	1546
80	298	1542
81	301	1537
82	305	1532
83	308	1527
84	311	1522
85	315	1517
86	319	1514
87	322	1510
88	326	1508
89	330	1506
90	334	1502
91	338	1498
92	341	1494
93	345	1491
94	348	1487
95	352	1485
96	356	1481
97	360	1477
98	363	1473
99	367	1471
100	371	1466
101	375	1463
102	378	1459
103	382	1455
104	383	1442
105	387	1440
106	390	1436
107	394	1432
108	398	1430
109	402	1425
110	405	1422
111	409	1419
112	413	1415
113	417	1412
114	420	1408
115	425	1409
116	433	1419
117	440	1425
118	443	1421
119	449	1423
120	467	1463
121	476	1475
122	480	1473
123	486	1474
124	491	1475
125	496	1474
126	501	1473
127	505	1468
128	509	1464
129	513	1462
130	517	1457
131	521	1453
132	526	1451
133	530	1448
134	534	1444
135	538	1440
136	542	1437
137	547	1435
138	554	1439
139	559	1438
140	563	1434
141	568	1433
142	575	1436
143	582	1439
144	586	1436
145	593	1437
146	598	1436
147	608	1446
148	613	1445
149	623	1453
150	647	1497
151	653	1497
152	670	1519
153	682	1533
154	696	1549
155	702	1549
156	719	1571
157	728	1577
158	750	1609
159	768	1633
160	775	1632
161	791	1652
162	809	1673
163	818	1677
164	823	1671
165	830	1670
166	837	1669
167	847	1675
168	852	1670
169	864	1678
170	874	1683
171	882	1682
172	890	1682
173	896	1679
174	911	1692
175	916	1686
176	923	1685
177	931	1685
178	937	1680
179	943	1677
180	948	1671
181	956	1671
182	961	1666
183	967	1660
184	971	1654
185	976	1648
186	990	1657
187	998	1656
188	1003	1651
189	1015	1657
190	1022	1654
191	1028	1649
192	1037	1650
193	1046	1650
194	1053	1648
195	1083	1679
196	1092	1679
197	1106	1687
198	1111	1681
199	1126	1690
200	1142	1699
201	1183	1746
202	1195	1749
203	1210	1756
204	1224	1761
205	1239	1768
206	1252	1772
207	1260	1769
208	1268	1765
209	1273	1758
210	1283	1757
211	1289	1751
212	1304	1757
213	1314	1756
214	1326	1757
215	1341	1763
216	1382	1802
217	1396	1806
218	1404	1802
219	1433	1823
220	1448	1828
221	1457	1824
222	1464	1818
223	1469	1810
224	1474	1801
225	1478	1792
226	1483	1783
227	1488	1776
228	1494	1768
229	1501	1762
230	1506	1754
231	1511	1746
232	1517	1739
233	1521	1730
234	1527	1722
235	1533	1715
236	1538	1707
237	1543	1698
238	1547	1690
239	1552	1681
240	1557	1674
241	1562	1665
242	1567	1658
243	1573	1650
244	1577	1642
245	1582	1634
246	1589	1628
247	1594	1620
248	1599	1612
249	1607	1607
250	1613	1600
251	1620	1594
252	1626	1588
253	1633	1581
254	1640	1576
255	1646	1569
256	1651	1561
257	1657	1555
258	1663	1547
259	1669	1541
260	1675	1534
261	1683	1528
262	1693	1526
263	1701	1521
264	1706	1513
265	1713	1506
266	1717	1499
267	1723	1492
268	1728	1484
269	1733	1476
270	1738	1468
271	1742	1460
272	1747	1452
273	1751	1444
274	1756	1437
275	1760	1428
276	1764	1420
277	1768	1412
278	1773	1404
279	1777	1396
280	1783	1389
281	1788	1382
282	1792	1374
283	1798	1367
284	1803	1360
285	1808	1352
286	1813	1345
287	1817	1338
288	1822	1330
289	1829	1324
290	1834	1317
291	1840	1310
292	1846	1304
293	1852	1298
294	1858	1291
295	1865	1285
296	1871	1279
297	1878	1273
298	1884	1266
299	1889	1259
300	1896	1253
301	1901	1246
302	1906	1239
303	1912	1233
304	1917	1226
305	1923	1219
306	1929	1212
307	1934	1206
308	1940	1199
309	1945	1192
310	1952	1186
311	1959	1180
312	1965	1174
313	1969	1166
314	1974	1159
315	1979	1152
316	1984	1145
317	1989	1138
318	1994	1131
319	1998	1124
320	2003	1117
321	2007	1109
322	2013	1103
323	2023	1099
324	2030	1093
325	2036	1086
326	2041	1080
327	2046	1073
328	2052	1066
329	2058	1060
330	2064	1054
331	2072	1048
332	2080	1043
333	2085	1036
334	2089	1029
335	2094	1022
336	2099	1015
337	2104	1008
338	2109	1001
339	2116	995
340	2121	989
341	2127	982
342	2131	975
343	2136	968
344	2142	962
345	2147	955
346	2153	949
347	2157	942
348	2163	936
349	2169	929
350	2176	923
351	2188	920
352	2199	916
353	2205	909
354	2216	905
355	2225	900
