date,sku,sales,is_promo,discount,price
2023-01-01,SKU001,83,0,0,100.0
2023-01-02,SKU001,119,0,0,100.0
2023-01-03,SKU001,70,0,0,100.0
2023-01-04,SKU001,95,0,0,100.0
2023-01-05,SKU001,81,0,0,100.0
2023-01-06,SKU001,117,0,0,100.0
2023-01-07,SKU001,147,0,0,100.0
2023-01-08,SKU001,110,0,0,100.0
2023-01-09,SKU001,111,0,0,100.0
2023-01-10,SKU001,100,0,0,100.0
2023-01-11,SKU001,86,0,0,100.0
2023-01-12,SKU001,129,1,10,90.0
2023-01-13,SKU001,116,1,20,80.0
2023-01-14,SKU001,165,1,15,85.0
2023-01-15,SKU001,105,0,0,100.0
2023-01-16,SKU001,74,0,0,100.0
2023-01-17,SKU001,105,0,0,100.0
2023-01-18,SKU001,107,0,0,100.0
2023-01-19,SKU001,75,0,0,100.0
2023-01-20,SKU001,92,0,0,100.0
2023-01-21,SKU001,122,0,0,100.0
2023-01-22,SKU001,100,0,0,100.0
2023-01-23,SKU001,82,0,0,100.0
2023-01-24,SKU001,72,0,0,100.0
2023-01-25,SKU001,101,0,0,100.0
2023-01-26,SKU001,142,1,25,75.0
2023-01-27,SKU001,153,1,20,80.0
2023-01-28,SKU001,172,1,10,90.0
2023-01-29,SKU001,134,0,0,100.0
2023-01-30,SKU001,62,0,0,100.0
2023-01-31,SKU001,108,0,0,100.0
2023-02-01,SKU001,67,0,0,100.0
2023-02-02,SKU001,73,0,0,100.0
2023-02-03,SKU001,50,0,0,100.0
2023-02-04,SKU001,80,0,0,100.0
2023-02-05,SKU001,105,0,0,100.0
2023-02-06,SKU001,104,0,0,100.0
2023-02-07,SKU001,55,0,0,100.0
2023-02-08,SKU001,71,0,0,100.0
2023-02-09,SKU001,140,1,25,75.0
2023-02-10,SKU001,75,1,10,90.0
2023-02-11,SKU001,106,1,20,80.0
2023-02-12,SKU001,83,0,0,100.0
2023-02-13,SKU001,97,0,0,100.0
2023-02-14,SKU001,77,0,0,100.0
2023-02-15,SKU001,59,0,0,100.0
2023-02-16,SKU001,69,0,0,100.0
2023-02-17,SKU001,65,0,0,100.0
2023-02-18,SKU001,84,0,0,100.0
2023-02-19,SKU001,63,0,0,100.0
2023-02-20,SKU001,85,0,0,100.0
2023-02-21,SKU001,69,0,0,100.0
2023-02-22,SKU001,98,0,0,100.0
2023-02-23,SKU001,89,1,15,85.0
2023-02-24,SKU001,74,1,15,85.0
2023-02-25,SKU001,84,1,25,75.0
2023-02-26,SKU001,83,0,0,100.0
2023-02-27,SKU001,94,0,0,100.0
2023-02-28,SKU001,85,0,0,100.0
2023-03-01,SKU001,50,0,0,100.0
2023-03-02,SKU001,53,0,0,100.0
2023-03-03,SKU001,60,0,0,100.0
2023-03-04,SKU001,91,0,0,100.0
2023-03-05,SKU001,104,0,0,100.0
2023-03-06,SKU001,55,0,0,100.0
2023-03-07,SKU001,81,0,0,100.0
2023-03-08,SKU001,42,0,0,100.0
2023-03-09,SKU001,101,1,10,90.0
2023-03-10,SKU001,93,1,20,80.0
2023-03-11,SKU001,162,1,25,75.0
2023-03-12,SKU001,124,0,0,100.0
2023-03-13,SKU001,62,0,0,100.0
2023-03-14,SKU001,80,0,0,100.0
2023-03-15,SKU001,94,0,0,100.0
2023-03-16,SKU001,92,0,0,100.0
2023-03-17,SKU001,48,0,0,100.0
2023-03-18,SKU001,53,0,0,100.0
2023-03-19,SKU001,75,0,0,100.0
2023-03-20,SKU001,100,0,0,100.0
2023-03-21,SKU001,85,0,0,100.0
2023-03-22,SKU001,80,0,0,100.0
2023-03-23,SKU001,101,1,10,90.0
2023-03-24,SKU001,80,1,10,90.0
2023-03-25,SKU001,89,1,20,80.0
2023-03-26,SKU001,108,0,0,100.0
2023-03-27,SKU001,90,0,0,100.0
2023-03-28,SKU001,46,0,0,100.0
2023-03-29,SKU001,47,0,0,100.0
2023-03-30,SKU001,78,0,0,100.0
2023-03-31,SKU001,70,0,0,100.0
2023-04-01,SKU001,61,0,0,100.0
2023-04-02,SKU001,70,0,0,100.0
2023-04-03,SKU001,93,0,0,100.0
2023-04-04,SKU001,90,0,0,100.0
2023-04-05,SKU001,69,0,0,100.0
2023-04-06,SKU001,112,1,15,85.0
2023-04-07,SKU001,119,1,10,90.0
2023-04-08,SKU001,150,1,20,80.0
2023-04-09,SKU001,105,0,0,100.0
2023-04-10,SKU001,84,0,0,100.0
2023-04-11,SKU001,89,0,0,100.0
2023-04-12,SKU001,99,0,0,100.0
2023-04-13,SKU001,83,0,0,100.0
2023-04-14,SKU001,74,0,0,100.0
2023-04-15,SKU001,97,0,0,100.0
2023-04-16,SKU001,71,0,0,100.0
2023-04-17,SKU001,51,0,0,100.0
2023-04-18,SKU001,71,0,0,100.0
2023-04-19,SKU001,75,0,0,100.0
