date,sku,sales,is_promo,discount,price,day_of_week,month,year,day_of_month,is_weekend,is_holiday,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_std_7,days_since_promo,promo_freq_28
2023-01-01,SKU001,83,0,0,100.0,6,1,2023,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
2023-01-02,SKU001,119,0,0,100.0,0,1,2023,2,0,0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0
2023-01-03,SKU001,70,0,0,100.0,1,1,2023,3,0,0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0
2023-01-04,SKU001,95,0,0,100.0,2,1,2023,4,0,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
2023-01-05,SKU001,81,0,0,100.0,3,1,2023,5,0,0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
2023-01-06,SKU001,117,0,0,100.0,4,1,2023,6,0,0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0
2023-01-07,SKU001,147,0,0,100.0,5,1,2023,7,1,1,117.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0
2023-01-08,SKU001,110,0,0,100.0,6,1,2023,8,1,0,147.0,83.0,0.0,0.0,101.71428571428571,0.0,27.12142010609748,8,0.0
2023-01-09,SKU001,111,0,0,100.0,0,1,2023,9,0,0,110.0,119.0,0.0,0.0,105.57142857142857,0.0,25.90918204586387,9,0.0
2023-01-10,SKU001,100,0,0,100.0,1,1,2023,10,0,0,111.0,70.0,0.0,0.0,104.42857142857143,0.0,25.389349097979014,10,0.0
2023-01-11,SKU001,86,0,0,100.0,2,1,2023,11,0,0,100.0,95.0,0.0,0.0,108.71428571428571,0.0,20.710015980311606,11,0.0
2023-01-12,SKU001,129,1,10,90.0,3,1,2023,12,0,0,86.0,81.0,0.0,0.0,107.42857142857143,0.0,21.94582073240935,11,0.0
2023-01-13,SKU001,116,1,20,80.0,4,1,2023,13,0,0,129.0,117.0,0.0,0.0,114.28571428571429,0.0,19.695297964355905,11,0.0
2023-01-14,SKU001,165,1,15,85.0,5,1,2023,14,1,0,116.0,147.0,0.0,0.0,114.14285714285714,0.0,19.675946156229873,11,0.0
2023-01-15,SKU001,105,0,0,100.0,6,1,2023,15,1,0,165.0,110.0,83.0,0.0,116.71428571428571,109.21428571428571,25.111181345596396,12,0.0
2023-01-16,SKU001,74,0,0,100.0,0,1,2023,16,0,0,105.0,111.0,119.0,0.0,116.0,110.78571428571429,25.40341184434353,13,0.0
2023-01-17,SKU001,105,0,0,100.0,1,1,2023,17,0,0,74.0,100.0,70.0,0.0,110.71428571428571,107.57142857142857,30.042826574266083,0,0.0
2023-01-18,SKU001,107,0,0,100.0,2,1,2023,18,0,0,105.0,86.0,95.0,0.0,111.42857142857143,110.07142857142857,29.804122437772165,1,0.0
2023-01-19,SKU001,75,0,0,100.0,3,1,2023,19,0,0,107.0,129.0,81.0,0.0,114.42857142857143,110.92857142857143,27.808015288504752,2,0.0
2023-01-20,SKU001,92,0,0,100.0,4,1,2023,20,0,0,75.0,116.0,117.0,0.0,106.71428571428571,110.5,30.456057337932442,3,0.0
2023-01-21,SKU001,122,0,0,100.0,5,1,2023,21,1,0,92.0,165.0,147.0,0.0,103.28571428571429,108.71428571428571,30.58711213193277,4,0.0
2023-01-22,SKU001,100,0,0,100.0,6,1,2023,22,1,0,122.0,105.0,110.0,0.0,97.14285714285714,106.92857142857143,17.75226343717492,5,0.0
2023-01-23,SKU001,82,0,0,100.0,0,1,2023,23,0,0,100.0,74.0,111.0,0.0,96.42857142857143,106.21428571428571,17.48196349438609,6,0.0
2023-01-24,SKU001,72,0,0,100.0,1,1,2023,24,0,0,82.0,105.0,100.0,0.0,97.57142857142857,104.14285714285714,15.967228342839633,7,0.0
2023-01-25,SKU001,101,0,0,100.0,2,1,2023,25,0,0,72.0,107.0,86.0,0.0,92.85714285714286,102.14285714285714,18.13310574086866,8,0.0
2023-01-26,SKU001,142,1,25,75.0,3,1,2023,26,0,0,101.0,75.0,129.0,0.0,92.0,103.21428571428571,17.483325389257814,8,0.0
2023-01-27,SKU001,153,1,20,80.0,4,1,2023,27,0,0,142.0,92.0,116.0,0.0,101.57142857142857,104.14285714285714,23.81776048006434,8,0.0
2023-01-28,SKU001,172,1,10,90.0,5,1,2023,28,1,0,153.0,122.0,165.0,0.0,110.28571428571429,106.78571428571429,30.070551960981632,8,0.0
2023-01-29,SKU001,134,0,0,100.0,6,1,2023,29,1,0,172.0,100.0,105.0,83.0,117.42857142857143,107.28571428571429,38.16567892254832,9,0.21428571428571427
2023-01-30,SKU001,62,0,0,100.0,0,1,2023,30,0,0,134.0,82.0,74.0,119.0,122.28571428571429,109.35714285714286,37.73907915196258,10,0.21428571428571427
2023-01-31,SKU001,108,0,0,100.0,1,1,2023,31,0,0,62.0,72.0,105.0,70.0,119.42857142857143,108.5,41.832432166351296,11,0.21428571428571427
2023-02-01,SKU001,67,0,0,100.0,2,2,2023,1,0,0,108.0,101.0,107.0,95.0,124.57142857142857,108.71428571428571,36.95879301265644,12,0.21428571428571427
2023-02-02,SKU001,73,0,0,100.0,3,2,2023,2,0,0,67.0,142.0,75.0,81.0,119.71428571428571,105.85714285714286,42.40563754075744,13,0.21428571428571427
2023-02-03,SKU001,50,0,0,100.0,4,2,2023,3,0,0,73.0,153.0,92.0,117.0,109.85714285714286,105.71428571428571,44.33745057859692,0,0.21428571428571427
2023-02-04,SKU001,80,0,0,100.0,5,2,2023,4,1,0,50.0,172.0,122.0,147.0,95.14285714285714,102.71428571428571,44.722956712888035,1,0.21428571428571427
2023-02-05,SKU001,105,0,0,100.0,6,2,2023,5,1,0,80.0,134.0,100.0,110.0,82.0,99.71428571428571,29.194748386196668,2,0.21428571428571427
2023-02-06,SKU001,104,0,0,100.0,0,2,2023,6,0,0,105.0,62.0,82.0,111.0,77.85714285714286,100.07142857142857,21.67508993774935,3,0.21428571428571427
2023-02-07,SKU001,55,0,0,100.0,1,2,2023,7,0,0,104.0,108.0,72.0,100.0,83.85714285714286,101.64285714285714,22.356420192184693,4,0.21428571428571427
2023-02-08,SKU001,71,0,0,100.0,2,2,2023,8,0,0,55.0,67.0,101.0,86.0,76.28571428571429,100.42857142857143,21.78466039605456,5,0.21428571428571427
2023-02-09,SKU001,140,1,25,75.0,3,2,2023,9,0,0,71.0,73.0,142.0,129.0,76.85714285714286,98.28571428571429,21.551709688008277,5,0.21428571428571427
2023-02-10,SKU001,75,1,10,90.0,4,2,2023,10,0,0,140.0,50.0,153.0,116.0,86.42857142857143,98.14285714285714,31.931474247504564,5,0.21428571428571427
2023-02-11,SKU001,106,1,20,80.0,5,2,2023,11,1,0,75.0,80.0,172.0,165.0,90.0,92.57142857142857,28.378395538390343,5,0.21428571428571427
2023-02-12,SKU001,83,0,0,100.0,6,2,2023,12,1,0,106.0,105.0,134.0,105.0,93.71428571428571,87.85714285714286,28.552374598938265,6,0.21428571428571427
2023-02-13,SKU001,97,0,0,100.0,0,2,2023,13,0,0,83.0,104.0,62.0,74.0,90.57142857142857,84.21428571428571,28.31287777000154,7,0.21428571428571427
2023-02-14,SKU001,77,0,0,100.0,1,2,2023,14,0,0,97.0,55.0,108.0,105.0,89.57142857142857,86.71428571428571,27.879844229939916,8,0.21428571428571427
2023-02-15,SKU001,59,0,0,100.0,2,2,2023,15,0,0,77.0,71.0,67.0,107.0,92.71428571428571,84.5,24.349635765340757,9,0.21428571428571427
2023-02-16,SKU001,69,0,0,100.0,3,2,2023,16,0,0,59.0,140.0,73.0,75.0,91.0,83.92857142857143,26.463811768778378,10,0.21428571428571427
2023-02-17,SKU001,65,0,0,100.0,4,2,2023,17,0,0,69.0,75.0,50.0,92.0,80.85714285714286,83.64285714285714,16.149598255359898,11,0.21428571428571427
2023-02-18,SKU001,84,0,0,100.0,5,2,2023,18,1,0,65.0,106.0,80.0,122.0,79.42857142857143,84.71428571428571,17.164470502146205,12,0.21428571428571427
2023-02-19,SKU001,63,0,0,100.0,6,2,2023,19,1,0,84.0,83.0,105.0,100.0,76.28571428571429,85.0,12.996336480130136,13,0.21428571428571427
2023-02-20,SKU001,85,0,0,100.0,0,2,2023,20,0,0,63.0,97.0,104.0,82.0,73.42857142857143,82.0,13.4642383477757,0,0.21428571428571427
2023-02-21,SKU001,69,0,0,100.0,1,2,2023,21,0,0,85.0,77.0,55.0,72.0,71.71428571428571,80.64285714285714,10.371664696249484,1,0.21428571428571427
